Id,Show,EpId,ClipId,Start,Stop,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech,Image_Path
1,HeStutters,0,0,31900320,31948320,0,0,0,0,0,0,0,0,3,1,0,0,D:/spectrograms/HeStutters_0_0_spec.png
2,HeStutters,0,1,31977120,32025120,0,0,0,0,0,0,0,0,3,1,0,0,D:/spectrograms/HeStutters_0_1_spec.png
3,HeStutters,0,2,34809760,34857760,0,0,0,0,0,0,0,0,3,0,0,0,D:/spectrograms/HeStutters_0_2_spec.png
4,HeStutters,0,3,35200640,35248640,0,0,1,0,0,0,0,0,2,0,0,0,D:/spectrograms/HeStutters_0_3_spec.png
5,HeStutters,0,4,35721920,35769920,0,0,0,0,0,0,0,0,3,0,0,0,D:/spectrograms/HeStutters_0_4_spec.png
6,HeStutters,0,5,36435040,36483040,0,0,1,0,0,0,0,0,2,0,0,0,D:/spectrograms/HeStutters_0_5_spec.png
7,HeStutters,0,6,37251200,37299200,0,0,0,0,0,0,0,0,3,0,0,0,D:/spectrograms/HeStutters_0_6_spec.png
8,HeStutters,0,7,37784640,37832640,0,0,0,0,0,0,0,0,3,2,0,0,D:/spectrograms/HeStutters_0_7_spec.png
9,HeStutters,0,8,37963520,38011520,0,0,0,0,0,0,0,0,3,2,0,0,D:/spectrograms/HeStutters_0_8_spec.png
10,HeStutters,0,9,41417440,41465440,0,0,0,0,0,0,0,0,3,0,0,0,D:/spectrograms/HeStutters_0_9_spec.png
11,HeStutters,0,10,41861760,41909760,0,0,0,0,0,0,0,1,3,0,0,0,D:/spectrograms/HeStutters_0_10_spec.png
12,HeStutters,0,11,42928800,42976800,0,0,0,0,0,0,0,0,3,0,0,0,D:/spectrograms/HeStutters_0_11_spec.png
13,HeStutters,0,12,43139360,43187360,0,0,0,0,0,0,0,0,3,0,0,0,D:/spectrograms/HeStutters_0_12_spec.png
14,HeStutters,0,13,46154240,46202240,0,0,0,0,0,1,0,1,2,0,0,0,D:/spectrograms/HeStutters_0_13_spec.png
15,HeStutters,0,14,49133440,49181440,0,0,0,1,0,0,0,0,2,0,0,0,D:/spectrograms/HeStutters_0_14_spec.png
16,HeStutters,0,15,49411840,49459840,0,0,0,0,0,0,0,0,3,0,0,0,D:/spectrograms/HeStutters_0_15_spec.png
17,HeStutters,0,16,51492320,51540320,0,0,0,0,0,0,0,0,3,0,0,0,D:/spectrograms/HeStutters_0_16_spec.png
18,HeStutters,0,17,6970880,7018880,0,0,0,0,0,0,0,0,3,1,0,0,D:/spectrograms/HeStutters_0_17_spec.png
19,HeStutters,0,18,8215200,8263200,0,0,0,1,0,0,0,0,2,1,0,0,D:/spectrograms/HeStutters_0_18_spec.png
20,HeStutters,0,19,9985280,10033280,0,0,1,0,0,0,0,0,2,0,0,0,D:/spectrograms/HeStutters_0_19_spec.png
21,HeStutters,0,20,11197600,11245600,0,0,0,0,0,0,0,0,3,0,0,0,D:/spectrograms/HeStutters_0_20_spec.png
22,HeStutters,0,21,12275840,12323840,0,0,0,0,0,0,1,0,3,0,0,0,D:/spectrograms/HeStutters_0_21_spec.png
23,HeStutters,0,22,12315840,12363840,0,0,0,0,0,0,0,0,3,0,0,0,D:/spectrograms/HeStutters_0_22_spec.png
24,HeStutters,0,23,12567200,12615200,0,0,0,0,0,0,1,0,3,0,0,0,D:/spectrograms/HeStutters_0_23_spec.png
25,HeStutters,0,24,15001760,15049760,0,0,0,0,0,0,0,0,3,0,0,0,D:/spectrograms/HeStutters_0_24_spec.png
26,HeStutters,0,25,16317280,16365280,0,0,1,0,0,0,0,0,2,0,0,0,D:/spectrograms/HeStutters_0_25_spec.png
27,HeStutters,0,26,3562240,3610240,0,0,0,0,0,0,0,0,3,0,0,0,D:/spectrograms/HeStutters_0_26_spec.png
28,HeStutters,0,27,18732320,18780320,0,0,0,1,3,1,0,1,0,0,0,0,D:/spectrograms/HeStutters_0_27_spec.png
29,HeStutters,0,28,18902240,18950240,0,0,1,0,0,0,0,0,2,0,0,0,D:/spectrograms/HeStutters_0_28_spec.png
30,HeStutters,0,29,19004000,19052000,0,0,0,0,0,0,0,0,3,0,0,0,D:/spectrograms/HeStutters_0_29_spec.png
31,HeStutters,0,30,19927520,19975520,0,1,0,0,0,0,2,0,3,0,0,0,D:/spectrograms/HeStutters_0_30_spec.png
32,HeStutters,0,31,21092480,21140480,0,0,1,0,0,0,0,0,2,0,0,0,D:/spectrograms/HeStutters_0_31_spec.png
33,HeStutters,0,32,21147520,21195520,0,0,0,0,0,0,0,0,3,0,0,0,D:/spectrograms/HeStutters_0_32_spec.png
34,HeStutters,0,33,25293440,25341440,0,0,2,1,0,0,0,0,1,0,0,0,D:/spectrograms/HeStutters_0_33_spec.png
35,HeStutters,0,34,25822720,25870720,0,0,0,0,0,0,0,0,3,0,0,0,D:/spectrograms/HeStutters_0_34_spec.png
36,HeStutters,0,35,26746400,26794400,0,0,0,0,0,0,0,0,3,0,0,0,D:/spectrograms/HeStutters_0_35_spec.png
37,HeStutters,0,36,27774880,27822880,0,0,0,0,0,0,0,0,3,0,0,0,D:/spectrograms/HeStutters_0_36_spec.png
38,HeStutters,0,37,27813440,27861440,0,0,1,0,0,0,0,1,2,0,0,0,D:/spectrograms/HeStutters_0_37_spec.png
39,HeStutters,0,38,29565600,29613600,0,0,1,0,0,0,0,0,2,0,0,0,D:/spectrograms/HeStutters_0_38_spec.png
40,HeStutters,0,39,30011200,30059200,0,0,0,1,0,0,0,0,2,0,0,0,D:/spectrograms/HeStutters_0_39_spec.png
41,HeStutters,1,0,2152480,2200480,0,0,0,1,2,0,1,0,0,0,0,0,D:/spectrograms/HeStutters_1_0_spec.png
42,HeStutters,1,1,27906400,27954400,0,0,0,0,0,1,0,1,2,0,0,0,D:/spectrograms/HeStutters_1_1_spec.png
43,HeStutters,1,2,28160960,28208960,0,0,1,0,0,0,0,0,2,1,0,0,D:/spectrograms/HeStutters_1_2_spec.png
44,HeStutters,1,3,28193760,28241760,0,0,0,1,0,0,0,3,2,1,0,0,D:/spectrograms/HeStutters_1_3_spec.png
45,HeStutters,1,4,28351360,28399360,0,0,0,0,0,0,0,0,3,0,0,0,D:/spectrograms/HeStutters_1_4_spec.png
46,HeStutters,1,5,28390400,28438400,0,0,0,0,0,3,0,1,0,0,0,0,D:/spectrograms/HeStutters_1_5_spec.png
47,HeStutters,1,6,28443200,28491200,0,0,0,0,0,1,0,0,2,1,0,0,D:/spectrograms/HeStutters_1_6_spec.png
48,HeStutters,1,7,28506080,28554080,0,0,0,0,0,3,1,0,0,1,0,0,D:/spectrograms/HeStutters_1_7_spec.png
49,HeStutters,1,8,28539840,28587840,0,0,0,0,0,2,0,0,1,0,0,0,D:/spectrograms/HeStutters_1_8_spec.png
50,HeStutters,1,9,29043360,29091360,0,0,0,1,0,0,0,0,2,0,0,0,D:/spectrograms/HeStutters_1_9_spec.png
51,HeStutters,1,10,29077440,29125440,0,0,0,2,0,1,1,0,0,0,0,0,D:/spectrograms/HeStutters_1_10_spec.png
52,HeStutters,1,11,29396960,29444960,0,1,2,0,1,0,1,0,0,0,0,0,D:/spectrograms/HeStutters_1_11_spec.png
53,HeStutters,1,12,29445280,29493280,0,0,0,0,2,0,1,0,1,0,0,0,D:/spectrograms/HeStutters_1_12_spec.png
54,HeStutters,1,13,29497920,29545920,0,0,0,1,0,1,0,0,1,1,0,0,D:/spectrograms/HeStutters_1_13_spec.png
55,HeStutters,1,14,29571040,29619040,0,0,3,0,0,0,0,3,0,0,0,0,D:/spectrograms/HeStutters_1_14_spec.png
56,HeStutters,1,15,30017440,30065440,0,0,3,0,1,0,0,1,0,0,0,0,D:/spectrograms/HeStutters_1_15_spec.png
57,HeStutters,1,16,30052800,30100800,0,0,0,1,0,0,0,0,2,0,0,0,D:/spectrograms/HeStutters_1_16_spec.png
58,HeStutters,1,17,5026880,5074880,0,0,0,2,1,0,1,0,0,1,0,0,D:/spectrograms/HeStutters_1_17_spec.png
59,HeStutters,1,18,5063040,5111040,0,1,1,1,1,0,3,0,1,0,0,0,D:/spectrograms/HeStutters_1_18_spec.png
60,HeStutters,1,19,30230560,30278560,0,1,0,0,0,0,0,0,3,0,0,0,D:/spectrograms/HeStutters_1_19_spec.png
61,HeStutters,1,20,30284320,30332320,0,0,0,0,1,3,0,1,0,0,0,0,D:/spectrograms/HeStutters_1_20_spec.png
62,HeStutters,1,21,30707360,30755360,1,0,0,0,1,0,2,0,1,0,0,1,D:/spectrograms/HeStutters_1_21_spec.png
63,HeStutters,1,22,30745440,30793440,0,0,1,1,0,0,0,0,2,1,0,0,D:/spectrograms/HeStutters_1_22_spec.png
64,HeStutters,1,23,30771360,30819360,0,0,1,0,0,0,0,0,2,0,0,0,D:/spectrograms/HeStutters_1_23_spec.png
65,HeStutters,1,24,30819840,30867840,0,0,0,1,0,1,0,3,1,1,0,0,D:/spectrograms/HeStutters_1_24_spec.png
66,HeStutters,1,25,30925120,30973120,0,0,1,0,0,0,0,0,1,0,0,0,D:/spectrograms/HeStutters_1_25_spec.png
67,HeStutters,1,26,30961440,31009440,0,0,0,1,0,0,0,2,2,0,0,0,D:/spectrograms/HeStutters_1_26_spec.png
68,HeStutters,1,27,31099040,31147040,0,0,3,1,0,0,1,0,0,1,0,0,D:/spectrograms/HeStutters_1_27_spec.png
69,HeStutters,1,28,31132480,31180480,0,1,1,0,0,1,1,2,2,0,0,0,D:/spectrograms/HeStutters_1_28_spec.png
70,HeStutters,1,29,31224160,31272160,0,0,2,0,0,0,1,0,1,0,0,0,D:/spectrograms/HeStutters_1_29_spec.png
71,HeStutters,1,30,31286560,31334560,0,0,0,1,0,0,1,0,2,0,0,0,D:/spectrograms/HeStutters_1_30_spec.png
72,HeStutters,1,31,31628960,31676960,0,0,1,1,0,0,1,0,1,0,0,0,D:/spectrograms/HeStutters_1_31_spec.png
73,HeStutters,1,32,31661920,31709920,0,0,3,0,0,0,0,3,0,0,0,0,D:/spectrograms/HeStutters_1_32_spec.png
